Players,Nationality,Type,Price Paid,Team,Player_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,POS,Player_bowl,Mat_bowl,Inns_bowl,Ov,Runs_bowl,Wkts,Avg_bowl,Econ,SR_bowl
Daniel Sams,Overseas,All-Rounder,26000000,MI,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,26.0,Daniel Sams,11.0,11.0,42.0,370.0,13.0,28.46,8.8,19.38
Ramandeep Singh,Indian,All-Rounder,2000000,MI,Ramandeep Singh,5,4,2,45,14*,22.5,40,112.5,0,0,3,56.0,Ramandeep Singh,5.0,3.0,6.0,54.0,6.0,9.0,9.0,6.0
Fabian Allen,Overseas,All-Rounder,7500000,MI,Fabian Allen,1,1,0,8,8,8,7,114.28,0,0,1,100.0,Fabian Allen,1.0,1.0,4.0,46.0,1.0,46.0,11.5,24.0
Hrithik Shokeen,Indian,All-Rounder,2000000,MI,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,85.0,Hrithik Shokeen,5.0,5.0,15.0,127.0,2.0,63.5,8.46,45.0
Kagiso Rabada,Overseas,Bowler,92500000,PK,Kagiso Rabada,13,8,3,48,25,9.6,43,111.62,0,0,5,3.0,Kagiso Rabada,13.0,13.0,48.0,406.0,23.0,17.65,8.45,12.52
Rahul Chahar,Indian,Bowler,52500000,PK,Rahul Chahar,13,8,2,77,25*,12.83,68,113.23,0,0,7,22.0,Rahul Chahar,13.0,13.0,46.4,360.0,14.0,25.71,7.71,20.0
Harpreet Brar,Indian,All-Rounder,38000000,PK,Harpreet Brar,5,3,0,22,14,7.33,25,88.0,0,0,1,72.0,Harpreet Brar,5.0,5.0,16.0,146.0,4.0,36.5,9.12,24.0
Liam Livingstone,Overseas,All-Rounder,115000000,PK,Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,55.0,Liam Livingstone,14.0,12.0,23.0,202.0,6.0,33.66,8.78,23.0
Odean Smith,Overseas,All-Rounder,60000000,PK,Odean Smith,6,6,3,51,25*,17,44,115.9,0,0,1,60.0,Odean Smith,6.0,6.0,15.0,178.0,6.0,29.66,11.86,15.0
Rishi Dhawan,Indian,All-Rounder,5500000,PK,Rishi Dhawan,6,4,2,37,21*,18.5,40,92.5,0,0,4,52.0,Rishi Dhawan,6.0,6.0,19.0,156.0,6.0,26.0,8.21,19.0
